"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","113","updatePetTest","Petstore API Suite","Tue Dec 10 07:00:09 GMT 2024","passed","Tue Dec 10 07:00:09 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","updatePetTest"
"","219","deletePetTest","Petstore API Suite","Tue Dec 10 07:00:10 GMT 2024","passed","Tue Dec 10 07:00:10 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","deletePetTest"
"","109","deletePetTest","Petstore API Suite","Tue Dec 10 07:00:10 GMT 2024","passed","Tue Dec 10 07:00:10 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","deletePetTest"
"","159","findPetsByStatusTest","Petstore API Suite","Tue Dec 10 07:00:10 GMT 2024","passed","Tue Dec 10 07:00:10 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","findPetsByStatusTest"
"","534","createPetTest","Petstore API Suite","Tue Dec 10 07:00:08 GMT 2024","passed","Tue Dec 10 07:00:09 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","createPetTest"
"","122","getPetByIdTest","Petstore API Suite","Tue Dec 10 07:00:09 GMT 2024","passed","Tue Dec 10 07:00:09 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","getPetByIdTest"
"","192","findPetsByStatusTest","Petstore API Suite","Tue Dec 10 07:00:10 GMT 2024","passed","Tue Dec 10 07:00:10 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","findPetsByStatusTest"
"","135","getPetTest","Petstore API Suite","Tue Dec 10 07:00:09 GMT 2024","passed","Tue Dec 10 07:00:09 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","getPetTest"
"","1467","createPetTest","Petstore API Suite","Tue Dec 10 07:00:07 GMT 2024","passed","Tue Dec 10 07:00:08 GMT 2024","com.petstore.tests.PetstoreTest","Petstore API Tests","com.petstore.tests.PetstoreTest","createPetTest"
"","137","updatePetTest","Petstore API Suite","Tue Dec 10 07:00:09 GMT 2024","passed","Tue Dec 10 07:00:10 GMT 2024","com.petstore.tests.PetstoreTestNG","Petstore API Tests","com.petstore.tests.PetstoreTestNG","updatePetTest"
